Qual a sua área?,Você está empregado na área de tecnologia?,O que está buscando atualmente como emprego?,Está aberto a oportunidades de?,Modalidade de contratação:,Faixa de salário desejada?,Onde  procura emprego?,Já participou de entrevistas?,Recebe retorno das entrevistas?,Qual a sua maior dificuldade de procurar emprego?,Como faz para se preparar para entrevistas?,"Já fez algum mentoria de carreira , seja ela de empregabilidade, parte do bootcamp, individual, com algum coach?",Qual a sua formação?,Onde conseguiu o contato do seu emprego atual?,Media de entrevistas até conseguir a vaga?,De quem foi a iniciativa de abordagem?,Forma de contratação?,Como foi o processo de entrevista?,Você teve onboarding na empresa?,Você tem um PDI para seguir na empresa?,Faixa salarial?,"Aceita disponibilizar meus dados de forma anônima para a pesquisa ""Estado do Junior Tech de 2023"", não vamos disponibilizar nenhum dado de forma individual, apenas compilados de informações para comunidade."
Desenvolvimento Frontend,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Não,Não,nao achar 1,com soft skills e hard skills,Sim,,,,,,,,,,sim
Desenvolvimento Backend,Não,"Primeiro Emprego, Transição de carreira (para profissão tech que escolheu)","Junior (Associado, Assistente)",CLT,"a partir de 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio, Instagram / Facebook",Não,Não,Nunca sou chamado pra entrevistas,,Sim,,,,,,,,,,sim
Desenvolvimento Backend,Sim,,,,,,,,,,,"Faculdade, Bootcamp",Linkedin,menos de 5,,Estagio,Tranquilo,Sim,Não,"Abaixo dos 1000,00",sim
"Dados - Ciencia, Analise, BI ou Engenharia",Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Site de vagas de emprego/estagio",Não,"Sim, com feedback automatico",,,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,"Primeiro emprego como júnior, terminei o estágio em Front-end","Trainee, Junior (Associado, Assistente)","CLT, PJ",Entre 1000 a 3000,"Linkedin, Amigos / Networking",Não,"Sim, com feedback automatico",A falta de chance de mostrar que posso crescer muito. Boa parte das empresas querem pessoas mais experientes.,Muito estudo e saber muito bem sobre a empresa no qual serei entrevistada.,Sim,,,,,,,,,,sim
QA - Qualidade de Software,Sim,,,,,,,,,,,"Faculdade, Cursos livres avulsos (estilo Udemy)",Networking / Amigos,menos de 5,Fui abordado e fiz o processo seletivo,CLT,Tranquilo,Não,Não,"entre 3000,00 e 4000",sim
Desenvolvimento Frontend,Não,Novo emprego (Demitido ainda em cargo de Junior),"Estagio, Trainee, Junior (Associado, Assistente)",CLT,"a partir de 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio, Instagram / Facebook",Não,Não,MERCADO COMPETITIVO/OPORTUNIDADES,MÉTODOS ELABORADOS,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Sim,,,,,,,,,,,Faculdade,Networking / Amigos,menos de 5,Fui abordado e fiz o processo seletivo,PJ,Tranquilo,Não,Não,"mais de 4000,00",sim
Desenvolvimento Backend,Não,Transição de carreira (para profissão tech que escolheu),"Junior (Associado, Assistente)",CLT,"a partir de 3000,00","Linkedin, Amigos / Networking, Site de vagas de emprego/estagio",Sim,"Sim, com feedback",Não ter uma resposta ,Tento me manter tranquilo e ver coisas que já sei mas para ficar ainda mais fixado na mente,Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Novo emprego (Demitido ainda em cargo de Junior),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00",Linkedin,Sim,"Sim, com feedback",Identificar vagas que me enquadro,Pesquiso sobre a empresa e vejo os requisitos da vaga,Não,,,,,,,,,,sim
Desenvolvimento Mobile,Não,Transição de carreira (para profissão tech que escolheu),"Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Site de vagas de emprego/estagio",Não,"Sim, com feedback automatico",Achar vagas que se adequem ao meu perfil,"Mental forte, me livro de pesos que possam me atrapalhar.",Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Sim,"Sim, com feedback automatico","Não ser contratado, já cheguei a passar em todas as etapas e ter a vaga cancelada um dia antes de assinar contrato.","Estudo um pouco sobre a empresa, tento falar sobre mim com clareza, passando informações que acredito serem relevantes.",Sim,,,,,,,,,,sim
"Dados - Ciencia, Analise, BI ou Engenharia",Não,"Primeiro Emprego, Transição de carreira (para profissão tech que escolheu)","Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Amigos / Networking, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",,,Sim,,,,,,,,,,sim
UX ( e suas variações),Não,Novo emprego (Demitido ainda em cargo de Junior),"Junior (Associado, Assistente)","CLT, PJ","a partir de 3000,00","Linkedin, Google / Pesquisa, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",,,Não,,,,,,,,,,sim
Desenvolvimento Backend,Sim,,,,,,,,,,,"Faculdade, Autodidata, Cursos livres avulsos (estilo Udemy)",Discord,menos de 5,Busquei ativamente um a vaga,CLT,Tranquilo,Sim,Não,"entre 2000,00 e 3000,00",sim
Desenvolvimento Frontend,Sim,,,,,,,,,,,"Faculdade, Alura","Networking / Amigos, Zap / Telegram",menos de 5,Busquei ativamente um a vaga,Estagio,Tranquilo,Sim,Não,"Abaixo dos 1000,00",sim
Agilidade,Não,Novo emprego (Demitido ainda em cargo de Junior),"Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Amigos / Networking, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",De conseguir a primeira entrevista para demonstrar a minha vontade,Estudo sobre a vaga e a empresa.,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Junior (Associado, Assistente)",CLT,"entre R$ 1000,00 e R$ 2000,00","Linkedin, Site de vagas de emprego/estagio",Não,Não,,,Não,,,,,,,,,,sim
"Dados - Ciencia, Analise, BI ou Engenharia",Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)",CLT,"entre 2000,00 e 3000,00","Linkedin, Grupos Zap/Telegram / Discord",Sim,"Sim, com feedback automatico",Muitas exigências para candidaturas.,Pesquiso sobre a empresa e treino minha história.,Sim,,,,,,,,,,sim
"Dados - Ciencia, Analise, BI ou Engenharia",Não,Primeiro Emprego,"Junior (Associado, Assistente)",CLT,6000,"Linkedin, Google / Pesquisa",Sim,"Sim, com feedback automatico",,,Sim,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)",CLT,"entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Não,Não,Conseguir agendamento para uma entrevista,"Nunca fiz, mas acredito que estudaria sobre a empresa antes e revisaria alguns conceitos técnicos e não técnicos.",Sim,,,,,,,,,,sim
"Dados - Ciencia, Analise, BI ou Engenharia",Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)",CLT,"entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio, Instagram / Facebook",Sim,"Sim, com feedback automatico","Encontrar uma vaga de estágio ou junior que realmente estejam interessados em formar um  profissional que está literalmente ansioso e disposto a mostrar seu valor, sem cobrar uma experiência prévia para quem ainda está buscando a primeira oportunidade ","Fiz somente uma para uma empresa de grande porte para estágio, como já trabalho terceirizado para a empresa já conhecia os valores então foi mais fácil a preparação, porém no momento da dinâmica creio que não tenha conseguido me vender da forma como planejado",Não,,,,,,,,,,sim
"Dados - Ciencia, Analise, BI ou Engenharia",Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Grupos Zap/Telegram / Discord, Amigos / Networking",Não,"Sim, com feedback automatico","Me inscrevi numa graduação para procurar esta, pois como Jr, mesmo com bastante conhecimento técnico nas tecnologias da área, é muito difícil: as vagas parecem ser de nível pleno, pois exigem experiência de 2 - 3 anos para Jr. ",Ensaio pitchs enquanto aprimoro portfólio ,Sim,,,,,,,,,,sim
Desenvolvimento Backend,Sim,,,,,,,,,,,"Faculdade, Bootcamp, Cursos livres avulsos (estilo Udemy)",Networking / Amigos,menos de 5,Busquei ativamente um a vaga,CLT,Tranquilo,Sim,Não,"entre 1000,00 e 2000,00",sim
Desenvolvimento Backend,Não,"Primeiro Emprego, Transição de carreira (para profissão tech que escolheu), Estágio ","Estagio, Trainee, Junior (Associado, Assistente)","CLT, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Amigos / Networking",Sim,"Sim, com feedback",Vagas,Estudando,Sim,,,,,,,,,,sim
Produtos,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Site de vagas de emprego/estagio",Não,"Sim, com feedback automatico","Fazer os recrutadores entenderem que minha experiência no mercado, soft skills e dedicação podem ser um diferencial, mesmo que eu não tenha experiência na área tech.","Nunca consegui chegar em uma. Mas acho que seria a parte mais fácil pra mim. Meu problema não é a comunicação, é conseguir uma oportunidade pra mostrar meu valor.",Não,,,,,,,,,,sim
Desenvolvimento Mobile,Sim,,,,,,,,,,,"Faculdade, Autodidata, Bootcamp, Cursos livres avulsos (estilo Udemy)",Linkedin,entre 5 e 10,Busquei ativamente um a vaga,CLT,Cansativo,Sim,Sim,"mais de 4000,00",sim
Desenvolvimento Backend,Sim,,,,,,,,,,,Cursos livres avulsos (estilo Udemy),Zap / Telegram,entre 5 e 10,Busquei ativamente um a vaga,Estagio,Cansativo,Sim,Não,"entre 1000,00 e 2000,00",sim
Desenvolvimento Backend,Sim,,,,,,,,,,,Autodidata,Linkedin,menos de 5,Busquei ativamente um a vaga,CLT,Tranquilo,Sim,Sim,"entre 2000,00 e 3000,00",sim
Desenvolvimento Backend,Sim,,,,,,,,,,,"Faculdade, Cursos livres avulsos (estilo Udemy)",Linkedin,menos de 5,Busquei ativamente um a vaga,CLT,Tranquilo,Não,Não,"entre 1000,00 e 2000,00",sim
Desenvolvimento Backend,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00",Linkedin,Não,Não,Oportunidades para treinee,Procuro estudar a empresa ,Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Transição de carreira (para profissão tech que escolheu),"Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","a partir de 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Não,Não,"Conseguir uma entrevista, visto que não tenho chegado até elas, mesmo com tutoria de carreira.","Estudo sobre como funcionam as entrevistas na área, acompanho conteúdos e também faço consultoria com analistas de carreira.",Sim,,,,,,,,,,sim
Desenvolvimento Backend,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Site de vagas de emprego/estagio",Não,Não,,,Não,,,,,,,,,,sim
Desenvolvimento Backend,Sim,,,,,,,,,,,"Faculdade, Bootcamp",Email direto pra empresa ,menos de 5,Busquei ativamente um a vaga,Estagio,Tranquilo,Não,Não,"entre 2000,00 e 3000,00",sim
Desenvolvimento Backend,Não,Novo emprego (Demitido ainda em cargo de Junior),"Trainee, Junior (Associado, Assistente)",CLT,"entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Não,"Sim, com feedback automatico",Pouca experiência no que as empresas necessitam,"Procuro sobre a empresa, tecnologias que ela está procurando e o perfil dos colaboradores",Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,"Primeiro Emprego, Transição de carreira (para profissão tech que escolheu)","Estagio, Trainee, Junior (Associado, Assistente)",CLT,"entre R$ 1000,00 e R$ 2000,00","Linkedin, Amigos / Networking, Site de vagas de emprego/estagio",Não,Não,,"Vejo e escuto muitas dicas pela internet, peço auxilio aos colegas que já estao na area ",Não,,,,,,,,,,sim
Desenvolvimento Backend,Sim,,,,,,,,,,,"Faculdade, Autodidata, Bootcamp, Cursos livres avulsos (estilo Udemy)","Linkedin, Networking / Amigos",menos de 5,Fui abordado e fiz o processo seletivo,CLT,Tranquilo,Não,Não,"entre 1000,00 e 2000,00",sim
Desenvolvimento Backend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Site de vagas de emprego/estagio",Não,Não,Não saber procurar bem e não ser convidado a continuar no processo seletivo. ,"Assisto e leio conteudos sobre o assunto, além de pedir dicas para que já participou de entrevistas. ",Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Transição de carreira (para profissão tech que escolheu),"Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio, Instagram / Facebook",Sim,"Sim, com feedback",,,Sim,,,,,,,,,,sim
UX ( e suas variações),Não,"Primeiro Emprego, Transição de carreira (para profissão tech que escolheu)","Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord",Não,Não,Sinto que nunca correspondo a todas as competências listadas nas vagas e acho que por conta disso e do volume de concorrentes acabo sempre descartada antes mesmo das entrevistas,Fiz uma mentoria específica sobre isso e estou estudando o material que a mentora me forneceu,Sim,,,,,,,,,,sim
Desenvolvimento Backend,Sim,,,,,,,,,,,"Faculdade, Mestrado em andamento em Ciência da Computação",Durante meu mestrado conheci uma pessoa (estudante) que trabalha em uma grande empresa e essa pessoa me indicou para uma vaga em outra empresa.,menos de 5,Busquei ativamente um a vaga,CLT,Tranquilo,Sim,Sim,"mais de 4000,00",sim
Desenvolvimento Backend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",sites de vagas automáticos,mentoria,Sim,,,,,,,,,,sim
Desenvolvimento Frontend,Sim,,,,,,,,,,,"Faculdade, Autodidata, Cursos livres avulsos (estilo Udemy)",Thread de vagas no Twitter,menos de 5,Busquei ativamente um a vaga,Estagio,Tranquilo,Sim,Sim,"entre 1000,00 e 2000,00",sim
QA - Qualidade de Software,Não,Novo emprego (Demitido ainda em cargo de Junior),"Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",Passar as fases da gupy,"Vídeos no youtube e perguntas mais feitas voltadas para a área, ver minhas anotações",Sim,,,,,,,,,,sim
Desenvolvimento Backend,Sim,,,,,,,,,,,Faculdade,Linkedin,entre 5 e 10,Busquei ativamente um a vaga,CLT,Tranquilo,Sim,Sim,"entre 2000,00 e 3000,00",sim
Desenvolvimento Backend,Sim,,,,,,,,,,,"Autodidata, Cursos livres avulsos (estilo Udemy)",Linkedin,menos de 5,Busquei ativamente um a vaga,CLT,Tranquilo,Sim,Sim,"entre 1000,00 e 2000,00",sim
"Dados - Ciencia, Analise, BI ou Engenharia",Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord",Não,"Sim, com feedback automatico",,,Sim,,,,,,,,,,sim
Desenvolvimento Mobile,Não,,"Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa",Sim,"Sim, com feedback automatico",Dificuldade em encontrar vagas para o meu nível de experiencia e quando encontro já tem muitas pessoas inscritas e recebo aquela mensagem automatica.,"Deve ter feito 4 entrevista, nenhuma tive a oportunidade de fazer um teste prático. mas geralmente me preparo procurando um pouco da empresa, revendo minhas experiencia no trabalho para contar. ",Sim,,,,,,,,,,sim
Desenvolvimento Frontend,Não,"Primeiro Emprego, Transição de carreira (para profissão tech que escolheu)","Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Site de vagas de emprego/estagio",Não,"Sim, com feedback automatico",Chegar na etapa de entrevista é o meu maior problema ,Estudo sobre a empresa em questão,Sim,,,,,,,,,,sim
"Dados - Ciencia, Analise, BI ou Engenharia",Sim,,,,,,,,,,,Pós graduacao,Gupy,entre 5 e 10,Busquei ativamente um a vaga,CLT,Tranquilo,Sim,Sim,"entre 2000,00 e 3000,00",sim
Desenvolvimento Backend,Não,"Primeiro Emprego, Transição de carreira (para profissão tech que escolheu)","Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking",Não,Não,,,Não,,,,,,,,,,sim
Desenvolvimento Mobile,Sim,,,,,,,,,,,"Faculdade, Autodidata, Bootcamp, Cursos livres avulsos (estilo Udemy)","Linkedin, Zap / Telegram",entre 10 e 30,Busquei ativamente um a vaga,PJ,Tranquilo,Não,Não,"entre 3000,00 e 4000",sim
Desenvolvimento Backend,Não,Novo emprego (Demitido ainda em cargo de Junior),"Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa",Sim,"Sim, com feedback automatico",Muitos Requisitos e número de vagas,,Sim,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","Abaixo de R$ 1000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Não,,"Ter experiência,na área o que é exigido na maioria das vagas.","Me analiso ,pesquiso sobre a empresa,os requisitos exigidos",Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Primeiro Emprego,"Trainee, Junior (Associado, Assistente)",CLT,"entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Site: programaThor",Não,Não,"Atender aos requisitos, como sou iniciante não possuo 1/3 das qualificações, ainda estou iniciando no aprendizado de uma linguagem de programação, porém ao pesquisar vagas referentes a mesma, é necessário saber de mais conteúdos relacionados a ela e para uma iniciante, é bem desafiador e frustante, mesmo a vaga dizendo que é para junior.","Planejo possíveis perguntas e respostas, dou uma pesquisada em redes sociais a como responder perguntas específicas e pesquiso a empresa que vou me candidatar na internet ",Sim,,,,,,,,,,sim
Produtos,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ","A partir de 5.000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico","Conseguir uma primeira oportunidade na área, candidaturas robotizados e zero humanas, exclusão de autistas nos processos seletivos com um total de ZERO empatia nos retornos das negativas de vaga.","Faço um mind map das experiências pertinentes a vaga, buscando exemplos que podem ser mencionados.",Não,,,,,,,,,,sim
DevOps,Sim,,,,,,,,,,,"Autodidata, Cursos livres avulsos (estilo Udemy)","Linkedin, Networking / Amigos",menos de 5,Fui abordado e fiz o processo seletivo,CLT,Tranquilo,Sim,Sim,"entre 2000,00 e 3000,00",sim
Desenvolvimento Frontend,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","Abaixo de R$ 1000,00","Linkedin, Google / Pesquisa, Amigos / Networking, Site de vagas de emprego/estagio",Não,Não,Atualmente é apenas a alta quantidade de candidatos iniciantes.,Reforço diariamente meu conhecimento técnico e pratico articulações de softskills para ser esclarecedor.,Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio, todos os possiveis",Não,Não,Receber um contato/ perder tempo fazendo inscrição nos milhares malditos sites de emprego,Nem sou chamado,Sim,,,,,,,,,,sim
Desenvolvimento Frontend,Sim,,,,,,,,,,,"Faculdade, Bootcamp, Curso Tecnico",Pesquisando no Google e filtrando oportunidades,"Menos de 5, respondi outro apenas para dar contexto que a entrevista em si é bem rara, normalmente você cai no processo antes dela",Busquei ativamente um a vaga,PJ,Tranquilo,Sim,Não,"entre 2000,00 e 3000,00",sim
Desenvolvimento Frontend,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)",CLT,"Abaixo de R$ 1000,00","Linkedin, Google / Pesquisa, Site de vagas de emprego/estagio",Não,"Sim, com feedback automatico",Exigência de assuntos abordados nas vagas.,Estudo e tento me manter atualizado sobre as tecnologias.,Sim,,,,,,,,,,sim
UX ( e suas variações),Sim,,,,,,,,,,,"Faculdade, Autodidata, Bootcamp, Cursos livres avulsos (estilo Udemy)",Linkedin,menos de 5,Busquei ativamente um a vaga,CLT,Tranquilo,Sim,Sim,"mais de 4000,00",sim
